Date,Open,High,Low,Close,Adj Close,Volume
2014-08-04,8054.080078,8128.169922,8042.709961,8114.450195,8114.450195,0
2014-08-05,8083.600098,8096.609863,8002.399902,8027.919922,8027.919922,0
2014-08-06,7984.569824,8056.160156,7984.569824,8029.549805,8029.549805,0
2014-08-07,8054.740234,8066.879883,7960.089844,7979.339844,7979.339844,0
2014-08-08,7990.450195,8078.080078,7978.649902,8075.279785,8075.279785,0
2014-08-11,8101.009766,8123.979980,8083.350098,8088.740234,8088.740234,0
2014-08-12,8077.350098,8099.080078,8057.569824,8076.529785,8076.529785,0
2014-08-13,8102.790039,8130.859863,8088.890137,8118.649902,8118.649902,0
2014-08-14,8118.879883,8149.520020,8118.879883,8149.509766,8149.509766,0
2014-08-15,8166.830078,8181.549805,8084.640137,8134.419922,8134.419922,0
2014-08-18,8160.620117,8204.570313,8160.620117,8200.950195,8200.950195,0
2014-08-19,8223.099609,8247.500000,8211.240234,8241.049805,8241.049805,0
2014-08-20,8228.030273,8272.349609,8224.870117,8265.070313,8265.070313,0
2014-08-21,8273.400391,8312.139648,8272.009766,8298.519531,8298.519531,0
2014-08-22,8287.690430,8300.339844,8258.009766,8270.370117,8270.370117,0
2014-08-25,8290.290039,8333.410156,8290.290039,8315.190430,8315.190430,0
2014-08-26,8324.559570,8354.209961,8324.559570,8328.709961,8328.709961,0
2014-08-27,8340.129883,8340.570313,8307.940430,8325.419922,8325.419922,0
2014-08-28,8297.549805,8311.990234,8279.900391,8304.650391,8304.650391,0
2014-08-29,8314.940430,8325.629883,8293.250000,8324.990234,8324.990234,0
2014-09-02,8325.610352,8328.940430,8278.950195,8310.849609,8310.849609,0
2014-09-03,8342.030273,8349.230469,8315.099609,8325.900391,8325.900391,0
2014-09-04,8329.209961,8361.809570,8287.650391,8311.019531,8311.019531,0
2014-09-05,8304.389648,8348.980469,8276.870117,8348.980469,8348.980469,0
2014-09-08,8342.320313,8342.320313,8290.669922,8309.610352,8309.610352,0
2014-09-09,8298.139648,8298.139648,8243.820313,8259.519531,8259.519531,0
2014-09-10,8260.540039,8292.019531,8238.440430,8285.400391,8285.400391,0
2014-09-11,8256.719727,8294.240234,8247.200195,8293.349609,8293.349609,0
2014-09-12,8283.589844,8287.240234,8233.089844,8254.240234,8254.240234,0
2014-09-15,8254.790039,8285.830078,8238.209961,8276.139648,8276.139648,0
2014-09-16,8262.450195,8356.080078,8259.690430,8337.330078,8337.330078,0
2014-09-17,8350.240234,8390.759766,8318.030273,8353.099609,8353.099609,0
2014-09-18,8369.160156,8403.919922,8368.929688,8397.490234,8397.490234,0
2014-09-19,8431.980469,8440.299805,8387.799805,8396.290039,8396.290039,0
2014-09-22,8390.889648,8390.889648,8327.330078,8338.219727,8338.219727,0
2014-09-23,8308.620117,8338.129883,8282.070313,8282.070313,8282.070313,0
2014-09-24,8285.459961,8353.900391,8269.009766,8346.790039,8346.790039,0
2014-09-25,8337.969727,8337.969727,8224.269531,8224.269531,8224.269531,0
2014-09-26,8234.120117,8304.790039,8226.150391,8288.940430,8288.940430,0
2014-09-29,8230.780273,8276.200195,8208.240234,8259.599609,8259.599609,0
2014-09-30,8261.089844,8289.000000,8222.389648,8234.919922,8234.919922,0
2014-10-01,8220.240234,8225.959961,8114.720215,8131.950195,8131.950195,0
2014-10-02,8120.129883,8152.870117,8054.379883,8125.799805,8125.799805,0
2014-10-03,8167.700195,8235.429688,8162.890137,8226.959961,8226.959961,0
2014-10-06,8250.570313,8270.519531,8191.759766,8222.250000,8222.250000,0
2014-10-07,8192.019531,8193.000000,8094.540039,8095.799805,8095.799805,0
2014-10-08,8094.290039,8231.799805,8054.770020,8228.440430,8228.440430,0
2014-10-09,8213.169922,8219.299805,8051.319824,8056.270020,8056.270020,0
2014-10-10,8059.060059,8109.560059,8001.310059,8001.700195,8001.700195,0
2014-10-13,7995.790039,8019.419922,7868.009766,7870.439941,7870.439941,0
2014-10-14,7891.990234,7951.399902,7840.919922,7867.680176,7867.680176,0
